Event	Latitude	Longitude	Elevation [m]	Date/Time	Sample ID	Depth sed [m]	Nodules [kg/m**2]	Deposit type
RP8OC75-46-01	9.3450	-150.8450	-5057	1975-10-24	RP8OC75-46-01-1-FCB	0	4.70	Mn nodule
RP8OC75-46-03	9.3167	-150.8750	-4900	1975-10-24	RP8OC75-46-03-1-FCB	0	10.20	Mn nodule
RP8OC75-46-04	9.3967	-150.8800	-4909	1975-10-25	RP8OC75-46-04-1-FCB	0	15.20	Mn nodule
RP8OC75-46-05	9.3550	-150.8567	-4999	1975-10-26	RP8OC75-46-05-1-FCB	0	0.10	Mn nodule
RP8OC75-46-06	9.4000	-150.8317	-5121	1975-10-26	RP8OC75-46-06-1-FCB	0	6.10	Mn nodule
RP8OC75-46-07	9.3267	-150.8450	-5012	1975-10-26	RP8OC75-46-07-1-FCB	0	0.60	Mn nodule
RP8OC75-46-08	9.3183	-150.8400	-5108	1975-10-26	RP8OC75-46-08-1-FCB	0	9.70	Mn nodule
RP8OC75-46-09	9.3333	-150.8067	-4745	1975-10-27	RP8OC75-46-09-1-FCB	0	6.20	Mn nodule
RP8OC75-47-10	9.0050	-151.1817	-5005	1975-10-27	RP8OC75-47-10-1-FCB	0	0.10	Mn nodule
RP8OC75-47-11	9.0417	-151.1767	-4951	1975-10-28	RP8OC75-47-11-1-FCB	0	1.60	Mn nodule
RP8OC75-47-12	9.0583	-151.1850	-4907	1975-10-28	RP8OC75-47-12-1-FCB	0	4.90	Mn nodule
RP8OC75-47-13	9.0383	-151.1867	-4938	1975-10-28	RP8OC75-47-13-1-FCB	0	1.60	Mn nodule
RP8OC75-47-14	9.0667	-151.2367	-5007	1975-10-28	RP8OC75-47-14-1-FCB	0	3.60	Mn nodule
RP8OC75-47-15	9.0800	-151.1850	-5012	1975-10-28	RP8OC75-47-15-1-FCB	0	7.60	Mn nodule
RP8OC75-47-16	9.0383	-151.1900	-4948	1975-10-29	RP8OC75-47-16-1-FCB	0	3.80	Mn nodule
RP8OC75-47-18	9.0800	-151.1567	-5025	1975-10-29	RP8OC75-47-18-1-FCB	0	0.70	Mn nodule
RP8OC75-48-19	8.2750	-151.1217	-4942	1975-10-29	RP8OC75-48-19-1-FCB	0	8.10	Mn nodule
RP8OC75-48-20	8.2383	-151.2383	-4942	1975-10-30	RP8OC75-48-20-1-FCB	0	9.40	Mn nodule
RP8OC75-48-21	8.2930	-151.2200	-5097	1975-10-30	RP8OC75-48-21-1-FCB	0	0.70	Mn nodule
RP8OC75-48-22	8.2667	-151.1883	-5014	1975-10-30	RP8OC75-48-22-1-FCB	0	1.70	Mn nodule
RP8OC75-48-23	8.3017	-151.1583	-5040	1975-10-31	RP8OC75-48-23-1-FCB	0	0.20	Mn nodule
RP8OC75-48-24	8.4583	-150.7783	-4927	1975-10-31	RP8OC75-48-24-1-FCB	0	0.60	Mn nodule
RP8OC75-49-25	8.4750	-150.7417	-4905	1975-10-31	RP8OC75-49-25-1-FCB	0	13.70	Mn nodule
RP8OC75-49-26	8.4567	-150.8367	-4872	1975-10-31	RP8OC75-49-26-1-FCB	0	12.30	Mn nodule
