Event	Latitude	Longitude	Elevation [m]	Method/Device	ID	Depth sed [m]	Cov [%]	Size [mm]	Conc [kg/m**2]	Texture	Deposit type
RP8OC75-46-01	9.345	-150.845	-5057	Box corer	RP8OC75-46-01-1PN	0	10.0	22	1.8	Smooth	Mn nodule
RP8OC75-46-04	9.397	-150.880	-4909	Box corer	RP8OC75-46-04-1PN	0	30.0	27	6.5	Smooth	Mn nodule
RP8OC75-46-06	9.400	-150.832	-5121	Box corer	RP8OC75-46-06-1PN	0	25.0	17	3.4	Smooth	Mn nodule
RP8OC75-46-07	9.327	-150.845	-5012	Box corer	RP8OC75-46-07-1PN	0	50.0	15	6.0	Smooth	Mn nodule
RP8OC75-46-08	9.318	-150.840	-5108	Box corer	RP8OC75-46-08-1PN	0	55.0	16	7.0	Smooth	Mn nodule
RP8OC75-46-09	9.333	-150.807	-4745	Box corer	RP8OC75-46-09-1PN	0	25.0	27	5.4	Smooth	Mn nodule
RP8OC75-47-10	9.005	-151.182	-5005	Box corer	RP8OC75-47-10-1PN	0	0.0	0			Mn nodule
RP8OC75-47-11	9.042	-151.177	-4951	Box corer	RP8OC75-47-11-1PN	0	5.0	54	2.2	Mixture of smooth and granular	Mn nodule
RP8OC75-47-12	9.058	-151.185	-4907	Box corer	RP8OC75-47-12-1PN	0	20.0	43	6.9	Mixture of smooth and granular	Mn nodule
RP8OC75-47-13	9.038	-151.187	-4938	Box corer	RP8OC75-47-13-1PN	0	7.0	33	1.8	Granular	Mn nodule
RP8OC75-47-14	9.067	-151.237	-5007	Box corer	RP8OC75-47-14-1PN	0	4.0	48	1.5	Granular	Mn nodule
RP8OC75-47-15	9.080	-151.185	-5012	Box corer	RP8OC75-47-15-1PN	0	4.0	57	1.8	Granular	Mn nodule
RP8OC75-47-16	9.038	-151.190	-4948	Box corer	RP8OC75-47-16-1PN	0	15.0	34	4.1	Granular	Mn nodule
RP8OC75-47-18	9.080	-151.157	-5025	Box corer	RP8OC75-47-18-1PN	0	15.0	31	3.7	Smooth	Mn nodule
RP8OC75-48-19	8.275	-151.122	-4942	Box corer	RP8OC75-48-19-1PN	0	1.0	46	0.4	Smooth	Mn nodule
RP8OC75-48-20	8.238	-151.238	-4942	Box corer	RP8OC75-48-20-1PN	0	30.0	23	5.5	Smooth	Mn nodule
RP8OC75-48-22	8.267	-151.188	-5014	Box corer	RP8OC75-48-22-1PN	0	1.0	57	0.5	Granular	Mn nodule
RP8OC75-48-23	8.302	-151.158	-5040	Box corer	RP8OC75-48-23-1PN	0	1.0	0			Mn nodule
RP8OC75-48-24	8.458	-150.778	-4927	Box corer	RP8OC75-48-24-1PN	0	1.0	24	0.2	Smooth	Mn nodule
RP8OC75-49-25	8.475	-150.742	-4905	Box corer	RP8OC75-49-25-1PN	0	45.0	25	9.0	Smooth	Mn nodule
RP8OC75-49-26	8.457	-150.837	-4872	Box corer	RP8OC75-49-26-1PN	0	40.0	32	10.2	Smooth	Mn nodule
RP8OC75-49-27	8.503	-150.797	-4938	Box corer	RP8OC75-49-27-1PN	0	25.0	28	5.6	Mixture of smooth and granular	Mn nodule
RP8OC75-50-28	8.695	-150.312	-4909	Box corer	RP8OC75-50-28-1PN	0	55.0	22	9.7	Smooth	Mn nodule
RP8OC75-50-29	8.730	-150.312	-4933	Box corer	RP8OC75-50-29-1PN	0	55.0	26	11.4	Smooth	Mn nodule
RP8OC75-50-30	8.685	-150.252	-4831	Box corer	RP8OC75-50-30-1PN	0	30.0	31	7.4	Smooth	Mn nodule
RP8OC75-50-31	8.690	-150.250	-4870	Box corer	RP8OC75-50-31-1PN	0	10.0	31	2.5	Smooth	Mn nodule
RP8OC75-50-32	8.718	-150.235	-4852	Box corer	RP8OC75-50-32-1PN	0	30.0	19	4.6	Smooth	Mn nodule
RP8OC75-51-33	11.693	-139.183	-4785	Box corer	RP8OC75-51-33-1PN	0	2.0	61	1.0	Granular	Mn nodule
RP8OC75-51-34	11.707	-139.180	-4828	Box corer	RP8OC75-51-34-1PN	0	7.0	71	4.0	Granular	Mn nodule
RP8OC75-51-35	11.718	-139.148	-4817	Box corer	RP8OC75-51-35-1PN	0	0.0	0			Mn nodule
RP8OC75-51-36	11.728	-139.137	-4817	Box corer	RP8OC75-51-36-1PN	0	1.0	20	0.2	Granular	Mn nodule
RP8OC75-52-37	11.228	-139.165	-4778	Box corer	RP8OC75-52-37-1PN	0	1.0	20	0.2	Granular	Mn nodule
RP8OC75-52-39	11.248	-139.090	-4831	Box corer	RP8OC75-52-39-1PN	0	5.0	90	3.6	Granular	Mn nodule
RP8OC75-52-40	11.272	-139.070	-4765	Box corer	RP8OC75-52-40-1PN	0	3.0	41	1.0	Granular	Mn nodule
RP8OC75-52-41	11.225	-139.128	-4756	Box corer	RP8OC75-52-41-1PN	0	0.0		0.0		Mn nodule
RP8OC75-52-42	11.258	-139.055	-4871	Box corer	RP8OC75-52-42-1PN	0	0.0		0.0		Mn nodule
RP8OC75-53-43	11.703	-138.390	-4997	Box corer	RP8OC75-53-43-1PN	0	0.0		0.0		Mn nodule
RP8OC75-53-44	11.722	-138.373	-4902	Box corer	RP8OC75-53-44-1PN	0	0.5	7	0.0		Mn nodule
RP8OC75-53-45	11.732	-138.370	-4887	Box corer	RP8OC75-53-45-1PN	0	3.0	80	1.9	Granular	Mn nodule
