Event	Latitude	Longitude	Elevation [m]	ID	Deposit type	Depth sed [m]	Mn [%]	Fe [%]	Ni [%]	Cu [%]	Co [%]	Pb [%]	Zn [mg/kg]	Size	Shape	Texture	Samp type
RP8OC75-46-03	9.3167	-150.8750	-4900	RP8OC75-46-03-1PIP7708	Mn nodule	0	24.44	11.80	0.94	0.52	0.26		700		Polylobate	Smooth	Half nodule
RP8OC75-46-03	9.3167	-150.8750	-4900	RP8OC75-46-03-1PIP7709	Mn nodule	0	22.41	12.64	0.71	0.50	0.27		900		Polylobate	Smooth	Half nodule
RP8OC75-46-03	9.3167	-150.8750	-4900	RP8OC75-46-03-1PIP7710	Mn nodule	0	16.91	13.04	0.62	0.60	0.30		800		Polylobate	Smooth	Half nodule
RP8OC75-46-03	9.3167	-150.8750	-4900	RP8OC75-46-03-1PIP7711	Mn nodule	0	19.66	12.04	0.71	0.52	0.19		600		Polylobate	Smooth	Half nodule
RP8OC75-46-03	9.3167	-150.8750	-4900	RP8OC75-46-03-1PIP7712	Mn nodule	0	23.71	11.32	0.52	0.60	0.28		700		Polylobate	Smooth	Half nodule
RP8OC75-46-03	9.3167	-150.8750	-4900	RP8OC75-46-03-1PIP7713	Mn nodule	0	24.65	8.98	0.96	0.57	0.33		800		Polylobate	Smooth	Half nodule
RP8OC75-46-03	9.3167	-150.8750	-4900	RP8OC75-46-03-1PIP7714	Mn nodule	0	22.48	12.33	0.83	0.52	0.25		700		Polylobate	Smooth	Half nodule
RP8OC75-46-03	9.3167	-150.8750	-4900	RP8OC75-46-03-1PIP7715	Mn nodule	0	23.57	11.83	0.84	0.54	0.26		700		Polylobate	Smooth	Half nodule
RP8OC75-46-03	9.3167	-150.8750	-4900	RP8OC75-46-03-1PIP7716	Mn nodule	0	24.58	11.38	0.93	0.65	0.27		1000		Polylobate	Smooth	Half nodule
RP8OC75-46-03	9.3167	-150.8750	-4900	RP8OC75-46-03-1PIP7717	Mn nodule	0	22.99	12.45	0.88	0.55	0.28		700		Polylobate	Smooth	Half nodule
RP8OC75-46-03	9.3167	-150.8750	-4900	RP8OC75-46-03-1PIP7718	Mn nodule	0	17.20	11.20	0.73	0.47					Polylobate	Smooth	Half nodule
RP8OC75-46-03	9.3167	-150.8750	-4900	RP8OC75-46-03-1PIP7719	Mn nodule	0	23.90	10.86	1.01	0.66					Polylobate	Smooth	Half nodule
RP8OC75-51-34	11.7067	-139.1800	-4828	RP8OC75-51-34-1PIP7702	Mn nodule	0	32.76	3.61	1.42	1.01	0.17		1500		Spheroidal	Rough botryoidal	Half nodule
RP8OC75-51-34	11.7067	-139.1800	-4828	RP8OC75-51-34-1PIP7703	Mn nodule	0	30.08	4.64	1.57	1.15	0.19		1600		Spheroidal	Rough botryoidal	Half nodule
RP8OC75-51-34	11.7067	-139.1800	-4828	RP8OC75-51-34-1PIP7704	Mn nodule	0	28.78	3.90	1.60	1.13	0.18		1500		Spheroidal	Rough botryoidal	Half nodule
RP8OC75-51-34	11.7067	-139.1800	-4828	RP8OC75-51-34-1PIP7705	Mn nodule	0	29.21	4.83	1.70	1.28	0.20		1300		Spheroidal	Rough botryoidal	Half nodule
RP8OC75-51-34	11.7067	-139.1800	-4828	RP8OC75-51-34-1PIP7706	Mn nodule	0	28.60	3.75	1.57	1.48					Spheroidal	Rough botryoidal	Half nodule
RP8OC75-51-34	11.7067	-139.1800	-4828	RP8OC75-51-34-1PIP7707	Mn nodule	0	24.10	10.59	1.02	0.69					Spheroidal	Rough botryoidal	Half nodule
RP8OC75-54-47	12.1733	-137.7350	-4833	RP8OC75-54-47-1PIP7702	Mn nodule	0	28.20	4.42	1.70	1.56						Rough botryoidal to smooth	Half nodule
RP8OC75-54-47	12.1733	-137.7350	-4833	RP8OC75-54-47-1PIP7703	Mn nodule	0	28.50	4.32	1.69	1.52						Rough botryoidal to smooth	Half nodule
RP8OC75-54-47	12.1733	-137.7350	-4833	RP8OC75-54-47-1PIP7704	Mn nodule	0	24.40	5.48	1.51	1.24						Rough botryoidal to smooth	Half nodule
RP8OC75-54-50	12.1420	-137.7670	-4978	RP8OC75-54-50-1PIP7705	Mn nodule	0	28.20	4.23	1.54	1.45					Spheroidal	Rough	Half nodule
RP8OC75-54-50	12.1420	-137.7670	-4978	RP8OC75-54-50-1PIP7706	Mn nodule	0	25.80	5.42	1.37	1.31					Spheroidal	Rough	Half nodule
RP8OC75-54-50	12.1420	-137.7670	-4978	RP8OC75-54-50-1PIP7707	Mn nodule	0	25.60	5.23	1.40	1.37					Spheroidal	Rough	Half nodule
RP8OC75-54-50	12.1420	-137.7670	-4978	RP8OC75-54-50-1PIP7708	Mn nodule	0	25.70	4.66	1.49	1.33					Spheroidal	Rough	Half nodule
RP8OC75-54-50	12.1420	-137.7670	-4978	RP8OC75-54-50-1PIP7709	Mn nodule	0	28.30	4.45	1.53	1.48					Spheroidal	Rough	Half nodule
RP8OC75-57-57	15.2967	-125.9217	-4438	RP8OC75-57-57-1PIP7704	Mn nodule	0	28.64	7.27	1.28	1.06	0.30		1200		Discoidal	Smooth	Half nodule
RP8OC75-57-57	15.2967	-125.9217	-4438	RP8OC75-57-57-1PIP7705	Mn nodule	0	28.20	7.55	1.51	1.07	0.29		1200		Discoidal	Smooth	Half nodule
RP8OC75-57-57	15.2967	-125.9217	-4438	RP8OC75-57-57-1PIP7706	Mn nodule	0	28.27	9.09	1.45	0.90	0.32		1200		Discoidal	Smooth	Half nodule
RP8OC75-57-57	15.2967	-125.9217	-4438	RP8OC75-57-57-1PIP7707	Mn nodule	0	19.66	9.07	1.26	0.97	0.27		900		Discoidal	Smooth	Half nodule
RP8OC75-57-57	15.2967	-125.9217	-4438	RP8OC75-57-57-1PIP7708	Mn nodule	0	27.91	9.06	1.48	1.02	0.31		1200		Discoidal	Smooth	Half nodule
RP8OC75-57-57	15.2967	-125.9217	-4438	RP8OC75-57-57-1PIP7709	Mn nodule	0	27.62	9.25	1.12	0.96	0.29		1100		Discoidal	Smooth	Half nodule
RP8OC75-57-57	15.2967	-125.9217	-4438	RP8OC75-57-57-1PIP7710	Mn nodule	0	28.92	8.21	1.60	1.07	0.31		1100		Discoidal	Smooth	Half nodule
RP8OC75-57-57	15.2967	-125.9217	-4438	RP8OC75-57-57-1PIP7711	Mn nodule	0	28.71	7.73	1.53	0.97	0.36		1100		Discoidal	Smooth	Half nodule
RP8OC75-57-57	15.2967	-125.9217	-4438	RP8OC75-57-57-1PIP7712	Mn nodule	0	29.29	7.94	1.53	1.03	0.29		1200		Discoidal	Smooth	Half nodule
RP8OC75-57-57	15.2967	-125.9217	-4438	RP8OC75-57-57-1PIP7713	Mn nodule	0	28.71	8.34	1.18	1.05	0.31		1200		Discoidal	Smooth	Half nodule
