Event	Latitude	Longitude	Elevation [m]	ID	Deposit type	Depth sed [m]	Mn [%]	Fe [%]	Ni [%]	Cu [%]	Co [%]	Ti [%]	Cd [mg/kg]	Mo [mg/kg]	Tl [mg/kg]	Zn [mg/kg]	Size	Shape	Texture	Samp type
RP8OC75-46-03	9.3167	-150.8750	-4900	RP8OC75-46-03-1PIP7701	Mn nodule	0	19.3	11.60	0.77	0.49	0.27					610	3 cm	Polylobate	Rough to smooth	Nodule cross-section
RP8OC75-46-03	9.3167	-150.8750	-4900	RP8OC75-46-03-1PIP7702	Mn nodule	0	25.6	9.70	1.12	0.71	0.34					900	1.5 cm	Polylobate	Rough to smooth	Whole nodule
RP8OC75-46-03	9.3167	-150.8750	-4900	RP8OC75-46-03-1PIP7703	Mn nodule	0					0.28		11	413	194	830	4 cm	Polylobate	Rough to smooth	Fragments
RP8OC75-46-03	9.3167	-150.8750	-4900	RP8OC75-46-03-1PIP7704	Mn nodule	0					0.27	0.44				830	3.5 cm	Polylobate	Rough to smooth	Fragments
RP8OC75-51-34	11.7067	-139.1800	-4828	RP8OC75-51-34-1PIP7701	Mn nodule	0	26.8	2.91	1.23	1.27	0.15					1100	2 cm	Spheroidal	Rough botryoidal	Whole nodule
RP8OC75-54-47	12.1733	-137.7350	-4833	RP8OC75-54-47-1PIP7701	Mn nodule	0	26.4	4.33	1.51	1.26	0.30					1100	3 cm		Rough botryoidal to smooth	Nodule cross-section
RP8OC75-54-50	12.1420	-137.7670	-4978	RP8OC75-54-50-1PIP7701	Mn nodule	0	25.6	5.58	1.41	1.21	0.20					1300	5 cm	Spheroidal	Rough botryoidal	Nodule cross-section
RP8OC75-57-57	15.2967	-125.9217	-4438	RP8OC75-57-57-1PIP7701	Mn nodule	0	25.3	7.41	1.35	0.93	0.33					1200	3 cm	Discoidal	Rough	Nodule cross-section
RP8OC76-1-6	15.2317	-125.9733	-4380	RP8OC76-1-6-1PIP7701	Mn nodule	0	28.9	8.70	1.36	1.18	0.26					1600	4.1 cm	Discoidal	Smooth	Nodule cross-section
RP8OC76-1-6	15.2317	-125.9733	-4380	RP8OC76-1-6-1PIP7702	Mn nodule	0	26.7	9.30	1.26	0.93	0.27					1600		Discoidal	Smooth	Nodule topside
RP8OC76-1-6	15.2317	-125.9733	-4380	RP8OC76-1-6-1PIP7703	Mn nodule	0	26.5	7.80	1.27	1.09	0.22					1600		Discoidal	Smooth	Nodule underside
RP8OC76-10-15	15.1900	-126.0367	-4516	RP8OC76-10-15-1PIP7701	Mn nodule	0	27.2	8.90	1.21	1.05	0.24					1400	4.9 cm	Discoidal	Rough	Nodule cross-section
RP8OC76-10-15	15.1900	-126.0367	-4516	RP8OC76-10-15-1PIP7702	Mn nodule	0	26.3	8.80	1.12	0.86	0.26					1400		Discoidal	Rough	Nodule topside
RP8OC76-10-15	15.1900	-126.0367	-4516	RP8OC76-10-15-1PIP7703	Mn nodule	0	25.9	7.70	1.11	1.04	0.22					2000		Discoidal	Rough	Nodule underside
RP8OC76-11-16	15.1950	-126.0650	-4524	RP8OC76-11-16-1PIP7701	Mn nodule	0	27.3	7.40	1.30	1.24	0.27					1400	5.4 cm	Discoidal	Rough botryoidal	Nodule cross-section
