Event	Latitude	Longitude	Elevation [m]	Date/Time	Sample ID	Depth sed [m]	Position	Deposit type	Quantity	Size [mm]	Size [mm] (min)	Size [mm] (max)	Texture
RP8OC75-46-01	9.3450	-150.8450	-5057	1975-10-24	RP8OC75-46-01-1-SRN	0	Surface	Mn nodule	120	25.0	5	45	Smooth
RP8OC75-46-02	9.3550	-150.8250	-5086	1975-10-24	RP8OC75-46-02-1-SRN	0	Surface	Mn nodule	>15	30.0	10	50	Mixture of smooth and granular
RP8OC75-46-03	9.3167	-150.8750	-4900	1975-10-24	RP8OC75-46-03-1-SRN	0	Surface	Mn nodule	>25	15.0	<10	20	Smooth
RP8OC75-46-04	9.3967	-150.8800	-4909	1975-10-25	RP8OC75-46-04-1-SRN	0	Surface	Mn nodule	>100	30.0	<10	50	Smooth
RP8OC75-46-05	9.3550	-150.8567	-4999	1975-10-26	RP8OC75-46-05-1-SRN	0	Surface	Mn nodule	>10	15.5	10	21	Granular
RP8OC75-46-06	9.4000	-150.8317	-5121	1975-10-26	RP8OC75-46-06-1-SRN	0	Surface	Mn nodule	250	45.0	2	88	Smooth
RP8OC75-46-07	9.3267	-150.8450	-5012	1975-10-26	RP8OC75-46-07-1-SRN	0	Surface	Mn nodule	>100	27.5	5	50	Smooth
RP8OC75-46-08	9.3183	-150.8400	-5108	1975-10-26	RP8OC75-46-08-1-SRN	0	Surface	Mn nodule	>100	28.0	6	50	Smooth
RP8OC75-46-09	9.3333	-150.8067	-4745	1975-10-27	RP8OC75-46-09-1-SRN	0	Surface	Mn nodule	>100	32.0	4	60	Smooth
RP8OC75-47-10	9.0050	-151.1817	-5005	1975-10-27	RP8OC75-47-10-1-SRN	0	Surface	Mn nodule	1	20.0		20	Granular
RP8OC75-47-11	9.0417	-151.1767	-4951	1975-10-28	RP8OC75-47-11-1-SRN	0	Surface	Mn nodule	4	51.5	39	64	Mixture of smooth and granular
RP8OC75-47-12	9.0583	-151.1850	-4907	1975-10-28	RP8OC75-47-12-1-SRN	0	Surface	Mn nodule	16	31.0	12	50	Granular
RP8OC75-47-13	9.0383	-151.1867	-4938	1975-10-28	RP8OC75-47-13-1-SRN	0	Surface	Mn nodule	9	35.5	20	51	Granular
RP8OC75-47-14	9.0667	-151.2367	-5007	1975-10-28	RP8OC75-47-14-1-SRN	0	Surface	Mn nodule	7	58.5	38	79	Smooth
RP8OC75-47-15	9.0800	-151.1850	-5012	1975-10-28	RP8OC75-47-15-1-SRN	0	Surface	Mn nodule	10	61.5	42	81	Smooth
